symbol,date,close
CTC.A,2024-10-30,152.13
CTC.A,2024-10-31,148.17
CTC.A,2024-11-01,150.11
CTC.A,2024-11-04,150
CTC.A,2024-11-05,150.32
CTC.A,2024-11-06,149.74
CTC.A,2024-11-07,152.66
CTC.A,2024-11-08,154
CTC.A,2024-11-11,151.73
CTC.A,2024-11-12,152.08
CTC.A,2024-11-13,150.96
CTC.A,2024-11-14,151.56
CTC.A,2024-11-15,152.95
CTC.A,2024-11-18,152.21
CTC.A,2024-11-19,152.14
CTC.A,2024-11-20,151.46
CTC.A,2024-11-21,150.52
CTC.A,2024-11-22,150.16
CTC.A,2024-11-25,153.72
CTC.A,2024-11-26,152.49
CTC.A,2024-11-27,153.25
CTC.A,2024-11-28,152.94
CTC.A,2024-11-29,154.37
CTC.A,2024-12-02,155.56
CTC.A,2024-12-03,156.42
CTC.A,2024-12-04,156.35
CTC.A,2024-12-05,156.6
CTC.A,2024-12-06,154.07
CTC.A,2024-12-09,157.28
CTC.A,2024-12-10,156.24
CTC.A,2024-12-11,154.72
CTC.A,2024-12-12,154.72
CTC.A,2024-12-13,153
CTC.A,2024-12-16,155.14
CTC.A,2024-12-17,154.76
CTC.A,2024-12-18,152.54
CTC.A,2024-12-19,151.31
CTC.A,2024-12-20,153.58
CTC.A,2024-12-23,153.44
CTC.A,2024-12-24,152.11
CTC.A,2024-12-27,152.87
CTC.A,2024-12-30,151.9
CTC.A,2024-12-31,151.22
CVE,2024-09-03,24.35
CVE,2024-09-04,23.84
CVE,2024-09-05,23.23
CVE,2024-09-06,22.87
CVE,2024-09-09,22.56
CVE,2024-09-10,22.09
CVE,2024-09-11,21.95
CVE,2024-09-12,22.06
CVE,2024-09-13,22.03
CVE,2024-09-16,22.36
CVE,2024-09-17,22.72
CVE,2024-09-18,22.63
CVE,2024-09-19,23.35
CVE,2024-09-20,23.21
CVE,2024-09-23,23.25
CVE,2024-09-24,23.34
CVE,2024-09-25,22.94
CVE,2024-09-26,21.95
CVE,2024-09-27,22.49
CVE,2024-09-30,22.62
CVE,2024-10-01,23.16
CVE,2024-10-02,23.25
CVE,2024-10-03,24.17
CVE,2024-10-04,24.8
CVE,2024-10-07,25
CVE,2024-10-08,24.13
CVE,2024-10-09,24.12
CVE,2024-10-10,24.52
CVE,2024-10-11,24.55
CVE,2024-10-15,23.23
CVE,2024-10-16,23.2
CVE,2024-10-17,23.43
CVE,2024-10-18,23.38
CVE,2024-10-21,23.39
CVE,2024-10-22,23.45
CVE,2024-10-23,23.09
CVE,2024-10-24,23.17
CVE,2024-10-25,23.48
CVE,2024-10-28,23.17
CVE,2024-10-29,22.94
CVE,2024-10-30,23.18
CVE,2024-10-31,22.39
CVE,2024-11-01,21.89
CVE,2024-11-04,22.55
CVE,2024-11-05,22.33
CVE,2024-11-06,22.57
CVE,2024-11-07,22.65
CVE,2024-11-08,22.43
CVE,2024-11-11,22.3
CVE,2024-11-12,21.95
CVE,2024-11-13,21.83
CVE,2024-11-14,22.23
CVE,2024-11-15,22.04
CVE,2024-11-18,22.42
CVE,2024-11-19,22.42
CVE,2024-11-20,22.62
CVE,2024-11-21,22.64
CVE,2024-11-22,22.62
CVE,2024-11-25,22.18
CVE,2024-11-26,21.78
CVE,2024-11-27,22.04
CVE,2024-11-28,22.13
CVE,2024-11-29,22.18
CVE,2024-12-02,22.11
CVE,2024-12-03,22.4
CVE,2024-12-04,21.81
CVE,2024-12-05,21.96
CVE,2024-12-06,21.25
CVE,2024-12-09,21.53
CVE,2024-12-10,21.42
CVE,2024-12-11,21.71
CVE,2024-12-12,21.49
CVE,2024-12-13,21.71
CVE,2024-12-16,21.2
CVE,2024-12-17,21.13
CVE,2024-12-18,20.92
CVE,2024-12-19,20.66
CVE,2024-12-20,20.71
CVE,2024-12-23,21.09
CVE,2024-12-24,21.11
CVE,2024-12-27,21.08
CVE,2024-12-30,21.3
CVE,2024-12-31,21.79
DOL,2024-09-03,133.16
DOL,2024-09-04,133.82
DOL,2024-09-05,130.62
DOL,2024-09-06,128.27
DOL,2024-09-09,128.24
DOL,2024-09-10,125.28
DOL,2024-09-11,135.53
DOL,2024-09-12,135.15
DOL,2024-09-13,133.48
DOL,2024-09-16,136.48
DOL,2024-09-17,134.7
DOL,2024-09-18,134.43
DOL,2024-09-19,135.27
DOL,2024-09-20,135.38
DOL,2024-09-23,135.51
DOL,2024-09-24,136.14
DOL,2024-09-25,136.76
DOL,2024-09-26,137.05
DOL,2024-09-27,136.85
DOL,2024-09-30,138.54
DOL,2024-10-01,136.66
DOL,2024-10-02,137.94
DOL,2024-10-03,137.93
DOL,2024-10-04,137.98
DOL,2024-10-07,137.67
DOL,2024-10-08,138.71
DOL,2024-10-09,139.84
DOL,2024-10-10,140.13
DOL,2024-10-11,144.03
DOL,2024-10-15,144.25
DOL,2024-10-16,143.58
DOL,2024-10-17,144.43
DOL,2024-10-18,144.74
DOL,2024-10-21,143.03
DOL,2024-10-22,142.73
DOL,2024-10-23,143.21
DOL,2024-10-24,143.32
DOL,2024-10-25,141.66
DOL,2024-10-28,143.66
DOL,2024-10-29,144.6
DOL,2024-10-30,144.4
DOL,2024-10-31,144.89
DOL,2024-11-01,146.49
DOL,2024-11-04,150
DOL,2024-11-05,149.49
DOL,2024-11-06,148.49
DOL,2024-11-07,149.39
DOL,2024-11-08,151
DOL,2024-11-11,149.03
DOL,2024-11-12,148.54
DOL,2024-11-13,147.56
DOL,2024-11-14,147
DOL,2024-11-15,148.07
DOL,2024-11-18,148.75
DOL,2024-11-19,148.75
DOL,2024-11-20,143.91
DOL,2024-11-21,146.84
DOL,2024-11-22,145.51
DOL,2024-11-25,142.95
DOL,2024-11-26,143.8
DOL,2024-11-27,143.79
DOL,2024-11-28,144.78
DOL,2024-11-29,145.84
DOL,2024-12-02,147.19
DOL,2024-12-03,148.17
DOL,2024-12-04,140.56
DOL,2024-12-05,140.22
DOL,2024-12-06,142.04
DOL,2024-12-09,140.13
DOL,2024-12-10,142.23
DOL,2024-12-11,142.53
DOL,2024-12-12,141.55
DOL,2024-12-13,141.84
DOL,2024-12-16,142.15
DOL,2024-12-17,141.65
DOL,2024-12-18,138.37
DOL,2024-12-19,138.69
DOL,2024-12-20,138.51
DOL,2024-12-23,140.12
DOL,2024-12-24,141.67
DOL,2024-12-27,140.21
DOL,2024-12-30,139.82
DOL,2024-12-31,140.28
EMA,2024-09-03,51.23
EMA,2024-09-04,51.45
EMA,2024-09-05,51.37
EMA,2024-09-06,51.13
EMA,2024-09-09,51.47
EMA,2024-09-10,51.24
EMA,2024-09-11,51.38
EMA,2024-09-12,52.9
EMA,2024-09-13,53.37
EMA,2024-09-16,53.36
EMA,2024-09-17,53.11
EMA,2024-09-18,52.63
EMA,2024-09-19,51.92
EMA,2024-09-20,52.48
EMA,2024-09-23,52.62
EMA,2024-09-24,52.54
EMA,2024-09-25,53.26
EMA,2024-09-26,53.54
EMA,2024-09-27,53.64
EMA,2024-09-30,53.29
EMA,2024-10-01,53.28
EMA,2024-10-02,53.29
EMA,2024-10-03,52.57
EMA,2024-10-04,52.14
EMA,2024-10-07,49.55
EMA,2024-10-08,49.51
EMA,2024-10-09,50.16
EMA,2024-10-10,50.86
EMA,2024-10-11,50.63
EMA,2024-10-15,52.7
EMA,2024-10-16,53.01
EMA,2024-10-17,53.49
EMA,2024-10-18,53.6
EMA,2024-10-21,53.56
EMA,2024-10-22,53.91
EMA,2024-10-23,53.88
EMA,2024-10-24,53.62
EMA,2024-10-25,53.13
EMA,2024-10-28,53.22
EMA,2024-10-29,51.8
EMA,2024-10-30,52.01
EMA,2024-10-31,52.6
EMA,2024-11-01,50.93
EMA,2024-11-04,50.5
EMA,2024-11-05,50.65
EMA,2024-11-06,49.76
EMA,2024-11-07,49.72
EMA,2024-11-08,50.19
EMA,2024-11-11,50.39
EMA,2024-11-12,50.44
EMA,2024-11-13,49.68
EMA,2024-11-14,50.45
EMA,2024-11-15,50.76
EMA,2024-11-18,51.36
EMA,2024-11-19,51.92
EMA,2024-11-20,51.8
EMA,2024-11-21,51.91
EMA,2024-11-22,51.92
EMA,2024-11-25,52.52
EMA,2024-11-26,52.88
EMA,2024-11-27,53.55
EMA,2024-11-28,53.35
EMA,2024-11-29,53.42
EMA,2024-12-02,53.8
EMA,2024-12-03,54.27
EMA,2024-12-04,55.13
EMA,2024-12-05,55.68
EMA,2024-12-06,55.88
EMA,2024-12-09,55.53
EMA,2024-12-10,55.07
EMA,2024-12-11,54.38
EMA,2024-12-12,54.57
EMA,2024-12-13,54.66
EMA,2024-12-16,54.62
EMA,2024-12-17,54.17
EMA,2024-12-18,53.63
EMA,2024-12-19,53.45
EMA,2024-12-20,53.65
EMA,2024-12-23,54.11
EMA,2024-12-24,53.79
EMA,2024-12-27,53.95
EMA,2024-12-30,54.08
EMA,2024-12-31,53.73
ENB,2024-09-03,54.48
ENB,2024-09-04,54.6
ENB,2024-09-05,54.64
ENB,2024-09-06,54.79
ENB,2024-09-09,55.31
ENB,2024-09-10,54.76
ENB,2024-09-11,54.63
ENB,2024-09-12,54.98
ENB,2024-09-13,55.37
ENB,2024-09-16,55.96
ENB,2024-09-17,55.51
ENB,2024-09-18,55.18
ENB,2024-09-19,54.82
ENB,2024-09-20,54.98
ENB,2024-09-23,55.22
ENB,2024-09-24,54.9
ENB,2024-09-25,55.42
ENB,2024-09-26,54.94
ENB,2024-09-27,55.03
ENB,2024-09-30,54.94
ENB,2024-10-01,55.51
ENB,2024-10-02,55.42
ENB,2024-10-03,55.25
ENB,2024-10-04,55.76
ENB,2024-10-07,55.66
ENB,2024-10-08,55.5
ENB,2024-10-09,56.12
ENB,2024-10-10,56.21
ENB,2024-10-11,56.56
ENB,2024-10-15,56.95
ENB,2024-10-16,57.5
ENB,2024-10-17,57.74
ENB,2024-10-18,57.97
ENB,2024-10-21,57.48
ENB,2024-10-22,57.31
ENB,2024-10-23,57.01
ENB,2024-10-24,57.04
ENB,2024-10-25,56.93
ENB,2024-10-28,56.8
ENB,2024-10-29,56.25
ENB,2024-10-30,56.45
ENB,2024-10-31,56.24
ENB,2024-11-01,56.42
ENB,2024-11-04,56.76
ENB,2024-11-05,56.8
ENB,2024-11-06,57.91
ENB,2024-11-07,58.81
ENB,2024-11-08,58.93
ENB,2024-11-11,59.54
ENB,2024-11-12,58.77
ENB,2024-11-13,59.53
ENB,2024-11-14,60.59
ENB,2024-11-15,59.4
ENB,2024-11-18,59.64
ENB,2024-11-19,59.95
ENB,2024-11-20,59.82
ENB,2024-11-21,60.79
ENB,2024-11-22,60.47
ENB,2024-11-25,60.01
ENB,2024-11-26,60.06
ENB,2024-11-27,60.14
ENB,2024-11-28,60.24
ENB,2024-11-29,60.57
ENB,2024-12-02,60.95
ENB,2024-12-03,61.18
ENB,2024-12-04,61.38
